author_id,created_at,text
ChipotleTweets,15_05_2022_18_32,@115980 🙏 -Becky
115980,15_05_2022_18_32,It's Halloween and my total at @ChipotleTweets was $6.66.....
ChipotleTweets,15_05_2022_18_32,@115981 See I think that means your family loves you. -Becky
115981,15_05_2022_18_32,I think my family hates me! They made me get @ChipotleTweets on Halloween! #3dollarburrito
ChipotleTweets,15_05_2022_18_32,@115982 That sounds so epic. -Becky
115982,15_05_2022_18_32,@ChipotleTweets it was becky it was.
115982,15_05_2022_18_32,i just walked into @ChipotleTweets wearing my mermaid man costume to get a $3 burrito &amp; I’ve never felt more alive
ChipotleTweets,15_05_2022_18_32,@115983 Agreed. -Becky
115983,15_05_2022_18_32,If you don't pull out that old costume and get a $3 burrito from @ChipotleTweets you are crazy.
ChipotleTweets,15_05_2022_18_32,"@115984 Nicely done! Your makeup is on point, my friend. -Becky"
115984,15_05_2022_18_32,Looking to get a @ChipotleTweets burrito for $3 🌯💀 https://t.co/6xGry0hKUC
ChipotleTweets,15_05_2022_18_32,"@115985 Thanks for the shout out, and thanks for stopping by! -Becky"
115985,15_05_2022_18_32,A burrito bowl from @ChipotleTweets for just $3...heck yes!! From now till close go in w/ your Halloween costume and get the deal. #12News https://t.co/3LgsDiLruM
ChipotleTweets,15_05_2022_18_32,@115986 That's definitely unBOOlievable. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky
115986,15_05_2022_18_32,"@ChipotleTweets Thanks, Becky! We were able to go back to Chipotle at 4pm and got our BOOritos."
ChipotleTweets,15_05_2022_18_32,@115986 We appreciate you coming back! -Becky
115986,15_05_2022_18_32,@ChipotleTweets Just got ghosted by Chipotle :( Went in at 3pm and was told we had to wait another hour for #BOOritos! UnBOOlievable.
ChipotleTweets,15_05_2022_18_32,"@115987 As long as it fits comfortably inside your meal, it's $3. -Becky"
115987,15_05_2022_18_32,"@ChipotleTweets is extra meat, guac, and queso included in the boorito?"
VerizonSupport,15_05_2022_18_32,"@115988 Does this bill say Final Bill?
^ACM"
115988,15_05_2022_18_32,@VerizonSupport no! it just says amount due $27.04
VerizonSupport,15_05_2022_18_32,"@115988 Can you please follow and DM us. 
^ACM"
115988,15_05_2022_18_32,@VerizonSupport All outstanding dues before 20th sept has been paid off
115988,15_05_2022_18_32,Why am I still receiving a bill for oct when I disconnected by account on sept 20th? pls advise &amp; reverse the charges. @115722
VerizonSupport,15_05_2022_18_32,"@115989 We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They will be in touch. 
^HSB"
115989,15_05_2022_18_32,"@VerizonSupport ever since I upgraded to Ulimited Data, my LTE speeds are TERRIBLE 😡 Is there a fix?!"
VerizonSupport,15_05_2022_18_32,"@115991 We can help right here. Follow and DM us.
^JAY"
115991,15_05_2022_18_32,@verizonsupport why tf does my internet keep going down this is bullshit
AskPayPal,15_05_2022_18_32,@115992 Hello! Thank you for reaching out to us. Send us a DM for further assistance. ^ML
115992,15_05_2022_18_32,@115993 @AskPayPal “If I don’t provide the required information by 15 Feb 1970” https://t.co/zTVGb15FH6
AskPayPal,15_05_2022_18_32,@115994 Glad we could help you out! :D ^DP
115994,15_05_2022_18_32,THANK YOU!!! @ASKPAYPAL YOU ARE A REAL MVP!!!
AskPayPal,15_05_2022_18_32,@115995 Hi there! Please send me a DM! ^RA
115995,15_05_2022_18_32,@115996 can you please help me recovering my hard earned money i lost in a cyber crime on @115993 . PayPal case ID is PP-006-234-348-863
AskPayPal,15_05_2022_18_32,"@115997 I've just responded to your DM, please check your inbox at your earliest convenience. Thank you for your patience! ^KT"
115997,15_05_2022_18_32,"@AskPayPal Hello, I'd like to add tracking info to my invoice but the ""Add tracking info"" link always lead to blank page. Please help."
AskPayPal,15_05_2022_18_32,"@115998 Hi there, we've replied to your DM! ^RA"
115998,15_05_2022_18_32,@115993 are you kidding me with this customer service! It’s terrible.
AskPayPal,15_05_2022_18_32,@115999 I am sorry to hear about this trouble you are running into. Please send me a DM and I can help you further. ^GA
115999,15_05_2022_18_32,"@AskPayPal I set up a paypal account before i was 18. Fair play, my bad. Was wondering if i could shut down the account so i can restart it now im 18?"
AskPayPal,15_05_2022_18_32,"@115999 Sadly we cannot close this account until you are 18, but we can close this account once you are 18 and you can op... https://t.co/hIEXXEzY1f"
115999,15_05_2022_18_32,@AskPayPal I am 18
AskPayPal,15_05_2022_18_32,@115999 Sorry for the confusion. Please DM me and I can help you. ^GA
115999,15_05_2022_18_32,@AskPayPal i have a serious problem i need help with.
AskPayPal,15_05_2022_18_32,@116000 I am sorry to hear about this trouble with accessing your account. Please send me a DM and I can help you further. ^GA
116000,15_05_2022_18_32,@AskPayPal Been locked out of my account for 2 hrs. 2 different agents have “reset my account for me” &amp; still no dice as soon as they get off phone
116000,15_05_2022_18_32,"Good morning, a @AskPayPal customer service rep just made me cry."
